name,index,coin_toss,normal,zipf,uniform,twin_peak,geometric,exponential,lognormal,zero
Dopigeoexiiosan,0,1,10277.448683754821,6,9173,3827.690994137628,12,39,18.62194102459889,0
Ouh,1,1,9667.18808468961,58,3510,1033.7689298566843,1,33,22.87529798787238,0
Yorox,2,1,9320.614705449929,38,9779,1208.2757189710405,7,13,48.31774295722831,0
Cieuqukalujod,3,1,10738.373186270012,2,9300,1108.7115015852339,1,101,605.7359032301492,0
Rotodavokenas,4,1,9820.663478060846,1,3289,1217.4114023033935,3,37,5.459034751843113,0
Xoeujioup,5,0,8225.686228289866,3,5084,804.53933514805567,1,7,7.751722273166855,0
Rerewob,6,0,9992.580647964704,1,756,3800.085963408801,1,33,26.845478464011364,0
Nuwaciy,7,1,10411.96419552489,4,7162,3739.3922173876126,1,46,34.28899325152698,0
Dagim,8,0,11912.639635737267,5,8311,3625.195218578267,1,280,20.27821418175988,0
Mieuiiq,9,1,9158.812660454658,1,5500,843.765675161182,2,55,18.44152552392128,0
Buluhoguzouoq,10,1,11885.505297300613,1,3122,3645.6794996009562,8,3,10.196084089039735,0
Maoevakieieoiox,11,1,9022.860634362289,14,6985,4086.4180244164681,5,196,29.224455977437007,0
Uit,12,1,8725.033353677642,3,8703,1021.739503680993,2,38,9.015727119966156,0
Ruu,13,0,10041.169897947237,1,7716,903.70715017969155,2,172,8.366358807925806,0
Oanaueaax,14,0,9814.385921592177,2,2309,902.30134120390846,7,12,47.32756469110108,0
Tutahea,15,0,10538.876864263157,10,6555,865.04191029874528,4,54,5.303786516713121,0
Hocufauoaiyayea,16,1,10279.979579985775,1,3211,4038.827750051571,1,324,18.5821904326402,0
Reiejoeoribik,17,1,8711.915952055731,2,8492,597.75840243445782,1,1,52.877076051728764,0
Mugijoz,18,1,9600.92625121735,7,7861,3981.0733521015195,1,42,7.999294745504745,0
Baranaxae,19,0,9787.534890929686,3,499,1037.7673898398405,2,65,29.52680709270924,0
Fifos,20,0,10093.895033624207,1,625,1268.1628542734761,1,98,87.26193618206248,0
Uaqoeijiuehuf,21,1,9508.423002092914,1,7754,1109.0987560369997,1,196,8.512350967987986,0
Veluaiviqei,22,0,9438.721675854598,1,5308,4025.3004543185361,3,66,2.589247899805672,0
Auteb,23,0,9017.174719641025,1,6066,3746.2027781540501,1,38,129.9565909871713,0
Iumuaobiiiqub,24,1,10815.655866153404,1,516,732.13827501205333,2,29,5.438951073844024,0
Hix,25,0,9404.809300362827,5,1604,3877.1232902347942,1,173,4.778062178396874,0
Dojijasofirovie,26,0,8429.528006263085,2,3427,3764.3010248128448,2,250,7.801030920173839,0
Zehijozuk,27,0,11808.648975701164,2,8634,4037.6554287856479,2,34,59.68689711090374,0
Fafuk,28,0,9103.07051701123,1,6326,3968.2902107901295,3,57,20.362612173261933,0
Qoeuioxei,29,1,9748.291953835911,1,4389,1293.7296085270248,2,309,6.437991648129965,0
Nesiu,30,0,9951.761384046997,68,8278,4204.5821213362833,4,67,33.18258888553714,0
Aegiyebokunurat,31,0,10706.364406370385,2,6014,4131.2680816850316,6,73,4.693088342902879,0
Vakupowobaeoj,32,0,10099.811010630656,2,204,3964.5310654959753,1,175,10.441607927992415,0
Yonukoyaqekevup,33,0,11005.64473584708,1,6401,3915.6369397458511,1,26,44.64117491047402,0
Auwaver,34,1,10453.73920125803,1,7076,1438.5763965711706,1,117,7.448600927551687,0
Canie,35,1,9504.895220466118,3,198,846.46013194752857,3,1,19.26557183045305,0
Tuhuaapavoyog,36,1,10678.445695025885,1,7632,557.08041804766208,13,63,5.125442900512113,0
Samad,37,0,10024.383306860014,1,1278,996.61840060953659,5,59,9.188818668466348,0
Kof,38,1,8469.888960424025,1,9363,4012.1988638647058,3,274,11.38019391027584,0
Hazosodio,39,1,9885.929449836625,1,5858,3904.0554384536081,1,102,30.6080816696341,0
Fudaxedoh,40,0,10818.652275717237,1,9800,3933.8997812445377,2,84,33.43369053921068,0
Negosiyinevuf,41,0,11164.276848835336,1,8744,1160.1602622722451,1,46,8.12225690287037,0
Daoofoaewit,42,0,11133.768193406737,3,1003,1145.8141151300033,7,104,10.024821470046964,0
Aoxiu,43,1,10670.976676420318,1,9722,1279.5293006121667,6,201,41.984419809411726,0
Wuviheriseh,44,0,9299.621711548843,9,9366,3819.1875725589603,6,10,14.905258172584684,0
Kur,45,1,7890.468940065295,2,8364,950.67878390461681,1,134,66.74266799330931,0
Giwuuafuwufewiw,46,1,10298.05879224314,1,9683,1024.3233345974243,1,9,59.59859358220986,0
Jemavoeeniioxuw,47,0,11057.406571015781,3,1779,4092.3488175428452,3,324,4.739083884845013,0
Caxubauodea,48,0,11035.081486643574,23,3898,873.31854033184334,2,8,54.14396018977384,0
Uubadoe,49,1,7620.18377641553,1,7155,954.84973763573748,1,173,52.65229132916706,0
Iaaurexivabod,50,1,11033.50228742816,1,8916,4178.6812168207925,4,22,31.12323124534135,0
Josieoseten,51,1,9739.389099232469,4,2227,918.85717881641824,1,425,7.090455801548288,0
Iajao,52,0,10113.896303213181,1,2920,1340.1940685247582,1,61,90.81524560085218,0
Behuy,53,1,9984.08158884395,4,5776,1301.0597129215203,6,19,8.511559543321892,0
Viticoeod,54,1,9781.798091478331,1,9427,3774.5513637056488,1,92,4.6540273447305385,0
Yubiiik,55,0,9802.999938317644,4,750,4325.5157362439131,1,244,16.038686208849086,0
Euhevilaa,56,1,9260.82450896381,3,952,1148.0051345018292,3,90,25.84581347399025,0
Beuuhonahelaaug,57,1,8894.832544616358,2,6017,4026.9726012906272,4,214,24.69560137305403,0
Tis,58,0,9028.3808328076,1,5108,3980.0166073741489,4,81,26.035703002394992,0
Wuhip,59,1,8921.17553200268,1,3280,4168.3021189778938,3,29,7.581512039663524,0
Sawicaxetel,60,0,9975.765236005727,25,4843,1057.8194397872146,3,4,43.484062010262846,0
Jos,61,0,10149.223173611968,5,9419,3932.5073006916623,1,159,124.87811470942133,0
Banorecub,62,1,9244.633266580317,3,5654,914.254694628008,1,32,14.506762187254584,0
Doj,63,0,10176.469194951775,1,459,3813.5273271036767,4,21,57.25785088782113,0
Gueuuegupoq,64,0,11269.912554249571,2,838,967.63552458064339,4,16,28.670774303409797,0
Aezeqaiay,65,1,10360.500909538681,1,5388,952.79266672865526,2,64,2.8691903184090752,0
Jipotiwou,66,0,9223.052918746042,4,7034,4018.6075320178074,6,124,12.516882468768458,0
Kimexia,67,1,10430.370198409155,1,560,1037.59529385315,3,43,150.31919736057512,0
Lonegokah,68,0,10491.272561136047,2,5624,947.72014682174415,1,50,35.37145760281481,0
Xewiy,69,0,9699.324281766183,3,4541,3964.368849164076,1,43,4.831789814458533,0
Winagujiraaaqik,70,1,10732.77022827509,1,468,4105.7272377783538,6,17,30.14580930774638,0
Waqaieuepad,71,1,10803.601252837132,1,3730,4123.8609740382772,1,14,73.10503130773516,0
Sarobouopitesar,72,0,9977.721546850138,1,1461,3893.5647983691856,6,198,59.7264517062711,0
Euiaqoxor,73,0,8751.522383083371,1,6704,988.18817326361636,6,32,10.82262212355181,0
Liciqin,74,0,11298.865047756952,4,3522,4192.2192765425179,3,84,12.00385132084579,0
Johop,75,1,10420.00767211292,1,5893,4228.7961234956392,8,366,12.806277135675794,0
Rarulubam,76,0,9567.941757717088,2,2118,726.73949817711446,4,123,10.214867842889387,0
Fezoxotaoaleiib,77,1,10018.627607343578,1,2627,1249.6428406369023,2,84,30.475319939166276,0
Bayoh,78,1,11168.068373645743,6,7766,3964.047579076002,2,153,191.27977997742727,0
Eipisus,79,1,10042.60532381462,1,6137,1031.2779679348823,3,162,8.944252463473495,0
Zofatuiihijeh,80,0,9330.078000800386,8,4477,3726.4771416967951,2,36,4.778217813702159,0
Hocoioaojoa,81,1,10907.488122800514,21,7846,641.00677431894599,2,62,8.296812220130729,0
Qonobapovugibon,82,0,9082.71154187549,1,6084,820.20195801740965,3,209,47.54999463217296,0
Ribosibugoxiliu,83,1,10723.54927698218,1,9229,1326.9833514545394,1,18,6.862349032744614,0
Oaiisaeooag,84,0,8288.109449339647,1,5074,1173.9638944594171,2,4,44.713908172462325,0
Kuxoeon,85,0,10302.116028693204,11,9347,1041.1340010603278,3,40,42.52504023503519,0
Mones,86,0,9501.982305273066,1,554,3896.177762230755,1,36,7.837525643285211,0
Kaqosirufoz,87,1,10968.517368158024,4,5645,4183.8148254957769,1,17,138.84150675823108,0
Buzexamixarah,88,1,7669.657046312264,1,5653,3869.3296077316036,3,31,25.401121684024467,0
Rudiciaanov,89,0,11481.42729925463,1,1181,1005.0332401681728,2,8,21.267697049229525,0
Ieleb,90,1,11230.343527312913,14,1766,4301.3120523298994,3,18,59.018716837974466,0
Fuxovelueewep,91,1,9559.980638458157,3,2378,3661.6696805369988,1,70,24.756419029667388,0
Eeiooorasuieoad,92,1,9986.285141137118,11,4124,3838.7470263825371,5,39,86.85959338063863,0
Jaoogezaael,93,1,10748.57370351617,7,1135,4203.7470847244376,1,103,33.85745332378794,0
